USER_ID,FIRST_NAME,LAST_NAME,EMAIL,SIGNUP_DATE,PREFERRED_LANGUAGE,DOB,MARKETING_OPT_IN,ACCOUNT_STATUS,LOYALTY_POINTS_BALANCE
dcf8f76f-d15e-432b-bc8b-f60fc19ffc51,Kyle,Griffith,griffith.kyle@webmail.net,2024-01-19,French,1939-03-25,False,active,9192.0
453ff8ed-6223-49c5-bc91-7751114547f5,Amy,Cobb,amy14@cobb.com,2020-12-08,Spanish,2000-02-22,False,active,3794.0
e5ee6f3f-0af6-4cba-9bac-e323d38f1bb3,Bryce,Cantu,b_cantu@domain.org,,English,,False,active,9935.0
afe4f6ad-283e-4a27-9e4d-3cbc44f23153,Justin,,,2020-03-09,,1961-10-27,False,active,9940.0
81a9db95-f994-4712-8f6b-30c075e4b354,Isaiah,Berg,i_berg@domain.org,2024-04-25,Spanish,1957-11-14,False,active,1132.0
0c47e13d-43f8-47f3-968b-dd54568895b2,Richard,Mason,richard14@mason.com,2023-07-28,Chinese,1956-09-06,False,active,5372.0
b228bd96-ebc2-4cdc-ab03-e57df66983e5,Paula,Silva,silva.paula@webmail.net,2019-12-05,Spanish,1975-02-20,False,active,8839.0
d3541616-7169-45e5-a320-3812366024e1,Jamie,Thompson,tho175@mailservice.com,2020-02-20,English,1962-10-04,False,active,9436.0
e6409c29-ccfe-4bb2-b846-dde32c75e697,Daniel,Roberts,daniel79@roberts.com,2022-01-27,Spanish,1956-05-18,False,active,493.0
2b143a84-629b-42b3-9d5c-26ed33800498,Sheryl,,,2024-08-04,English,2002-07-07,True,active,8780.0
9b684ef6-3782-41ba-b75e-e43f48443cf4,Benjamin,Ramsey,br6544@emailprovider.com,2022-07-29,Chinese,1968-08-07,,active,1821.0
120e215c-9c69-46b0-a3c4-a4f4151b51bb,Lauren,Gonzales,gonzales.lauren@webmail.net,2021-01-11,,1969-07-02,True,active,7673.0
96d18c98-7513-43e4-98b8-4932150c4271,Lisa,Johns,joh681@mailservice.com,2020-08-17,French,1995-07-17,True,active,1888.0
dd791d9f-0f61-47de-90f0-192922cd3652,Jaclyn,,,2019-10-12,French,1956-07-27,True,active,
4dc9a635-d11f-42b5-8a52-c2d8f9ef7c95,Robin,Williamson,r_williamson@domain.org,2021-02-14,French,1964-05-05,False,active,1541.0
06b5284a-45fc-403a-bcd4-24ac3ca1bfb9,Elizabeth,Alexander,e_alexander@domain.org,2024-01-18,Spanish,1987-01-06,False,active,7979.0
2a9c7724-8f77-4b05-94e1-ddb82a089f4c,,Lopez,,,English,1959-07-07,,active,7146.0
b4f0b857-4514-4f78-ba77-321a7351a286,Corey,Mckinney,corey21@mckinney.com,2024-06-05,German,1984-11-04,True,active,
c43db906-2c74-438a-9e09-025ad9eacb83,Natalie,Smith,smi790@mailservice.com,2019-10-24,English,,False,active,5570.0
